species,tissue_class,cell_type,cell_name,geneSymbol,PMID
Mm Hs,Pancreas,,Acinar cells,CTRB1,
Mm Hs,Pancreas,,Acinar cells,KLK1,
Mm Hs,Pancreas,,Acinar cells,RBPJL,
Mm Hs,Pancreas,,Acinar cells,PTF1A,
Mm,Pancreas,,Acinar cells,TRY4,
Mm Hs,Pancreas,,Acinar cells,CELA3A,
Mm Hs,Pancreas,,Acinar cells,PRSS1,
Mm,Pancreas,,Acinar cells,AMY2A2,
Mm Hs,Pancreas,,Acinar cells,SPINK1,
Mm Hs,Pancreas,,Acinar cells,ZG16,
Mm Hs,Pancreas,,Acinar cells,CEL,
Mm Hs,Pancreas,,Acinar cells,CELA2A,
Mm,Pancreas,,Acinar cells,AMY2A3,
Mm Hs,Pancreas,,Acinar cells,CPB1,
Mm Hs,Pancreas,,Acinar cells,CELA1,
Mm,Pancreas,,Acinar cells,AMY2A5,
Mm Hs,Pancreas,,Acinar cells,RNASE1,
Mm Hs,Pancreas,,Acinar cells,AMY2B,
Mm Hs,Pancreas,,Acinar cells,CPA2,
Mm Hs,Pancreas,,Acinar cells,CPA1,
Mm Hs,Pancreas,,Acinar cells,CELA3B,
Mm Hs,Pancreas,,Acinar cells,PNLIP,
Hs,Pancreas,,Acinar cells,CTRB2,
Mm Hs,Pancreas,,Acinar cells,PLA2G1B,
Mm Hs,Pancreas,,Acinar cells,PRSS2,
Mm Hs,Pancreas,,Acinar cells,CLPS,
Hs,Pancreas,,Acinar cells,REG1A,
Mm Hs,Pancreas,,Acinar cells,SYCN,
Mm Hs,Pancreas,,Acinar cells,PNLIPRP1,
Mm Hs,Pancreas,,Acinar cells,CTRC,
Mm Hs,Pancreas,,Acinar cells,REG3A,
Hs,Pancreas,,Acinar cells,SERPINA3,
Mm Hs,Pancreas,,Acinar cells,PRSS3,
Hs,Pancreas,,Acinar cells,REG1B,
Mm Hs,Pancreas,,Acinar cells,CFB,
Mm Hs,Pancreas,,Acinar cells,GDF15,
Mm Hs,Pancreas,,Acinar cells,MUC1,
Hs,Pancreas,,Acinar cells,C15ORF48,
Mm Hs,Pancreas,,Acinar cells,DUOXA2,
Hs,Pancreas,,Acinar cells,AKR1C3,
Mm Hs,Pancreas,,Acinar cells,OLFM4,
Mm Hs,Pancreas,,Acinar cells,GSTA1,
Mm Hs,Pancreas,,Acinar cells,LGALS2,
Mm Hs,Pancreas,,Acinar cells,PDZK1IP1,
Mm Hs,Pancreas,,Acinar cells,RARRES2,
Mm Hs,Pancreas,,Acinar cells,CXCL17,
Mm Hs,Pancreas,,Acinar cells,UBD,
Mm Hs,Pancreas,,Acinar cells,GSTA2,
Mm Hs,Pancreas,,Acinar cells,ANPEP,
Hs,Pancreas,,Acinar cells,LYZ,
Mm Hs,Pancreas,,Acinar cells,ANGPTL4,
Mm Hs,Pancreas,,Acinar cells,ALDOB,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,CEBPA,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,EGFR,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,FGF10,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,GSC,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,MMP3,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,PPARG,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,TWIST2,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,GATA3,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,GLI1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,SMO,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,STAB1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,WISP2,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,WT1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,SCARA5,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC8,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,TCF7L1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC9,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC6,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,HOXC4,
Hs,Connective tissue,,Adipocyte progenitor cells,ZNF521,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,SULT1E1,
Mm Hs,Connective tissue,,Adipocyte progenitor cells,EBF2,
