"B cell","Neutrophil","Natural killer T (NKT) cell","Monocyte","Antigen-presenting cell","Dendritic cell","Muscle cell","Nephron epithelial cell","Collecting duct & Ureteric Bud cell","Distal tubular cell","Developing nephron","Non PT tubular cell","Ductal cell","Intercalated cell","Collecting ductal cell","Type A intercalated cell","Connecting tubular cell","Principal cell","Medial and distal segment cell","Tubular cell","Loop of Henle cell","Progenitor cell","Stem cell","Cancer stem cell","Renal tubular cell","Mesangial cell","Endothelial cell","Glomerular parietal epithelial cell","Fibroblast","Classical B cell","Thick Ascending Limb cell","Descending thin limb cell","Loop of Henle thick ascending limb cell (TAL)","M2 macrophage","Mast cell","Plasmacytoid dendritic cell","Plasma cell","Juxtaglomerular cells","Proximal tubular cell","Proximal tubule-S1 cell","Proximal tubule cell","Cortical stromal cell","Stromal cell","Mature endothelial cell","Vasculature cell","vasa recta Endothelial cell (ECvr)","glomerular Endothelial cell (ECg)","Vascular endothelial cell"
"HLA-DRA","TYROBP","ARHGAP25","LAPTM5","HLA-DPB1","HLA-DPB1","TTN","SLC4A1","CALB1","CALB1","ATP6V1B1","SLC4A1","SLC4A9","SLC4A1","TMEM213","SLC4A1","CALB1","TMEM213","CD24","SPP1","UMOD","CD24","CD24","CD24","CCL2","CCL2","CCL2","CD24","SPP1","CD24","UMOD","ITGB6","UMOD","CCL2","KRT1","JCHAIN","JCHAIN","REN","ALDOB","SLC5A12","GPX3","DCN","DCN","FLT1","PLVAP","FLT1","PLVAP","PLVAP"
"HLA-DPA1","TYROBP","HCLS1","TYROBP","HLA-DRA","","","SLC4A1","","CALB1","GPX3","UMOD","","SLC4A1","","","","","","","UMOD","CD24","","","","REN","PLVAP","","DCN","","","","","","KRT1","JCHAIN","MZB1","","ALDOB","","ALDOB","","","","PLVAP","","",""
"HLA-DPB1","","LAPTM5","HCLS1","","","","","","UMOD","ALDOB","","","SLC4A1","","","","","","","UMOD","","","","","","PLVAP","","DCN","","","","","","","JCHAIN","JCHAIN","","ALDOB","","","","","","","","",""
"HLA-DRA","","TYROBP","HLA-DRA","","","","","","","","","","","","","","","","","","","","","","","PLVAP","","","","","","","","","JCHAIN","MZB1","","ALDOB","","","","","","","","",""
"LAPTM5","","SAMD9L","HLA-DRA","","","","","","","","","","","","","","","","","","","","","","","NRP1","","","","","","","","","NRP1","JCHAIN","","SLC5A12","","","","","","","","",""
"TTN","","TTN","SLC43A2","","","","","","","","","","","","","","","","","","","","","","","PLVAP","","","","","","","","","NRP1","MZB1","","","","","","","","","","",""
"HLA-DPA1","","TRAPPC2L","ANXA2","","","","","","","","","","","","","","","","","","","","","","","FLT1","","","","","","","","","","IGHG4","","","","","","","","","","",""
"HLA-DPB1","","KRT2","ANXA11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JCHAIN","","","","","","","","","","",""
"HLA-DRA","","ANXA2","CYBA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IGHG2","","","","","","","","","","",""
"LAPTM5","","EPB41L4A-AS1","TIMP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MZB1","","","","","","","","","","",""
"HLA-DPB1","","RPS18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MZB1","","","","","","","","","","",""
"TTN","","KRT10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DPA1","","FRG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DRA","","ANXA11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DPB1","","SSR4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DRA","","RPL32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DPA1","","CYBA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DRA","","ZNF326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLA-DPB1","","RPS4X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALB1","","DCN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHCG","","FBLN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHCG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEG10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEG10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCHAIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCHAIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGHG4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGHG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGHG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCHAIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCHAIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGHG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSM2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSM2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIDT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSM2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIDT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSM2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGFBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGFBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
